MetadataType,ComponentName,Namespace,LastModifiedDate
CustomObject,AssociatedLocation,,1970-01-01T00:00:00.000Z
CustomObject,FulfillmentOrder,,1970-01-01T00:00:00.000Z
CustomObject,ActiveScratchOrg,,1970-01-01T00:00:00.000Z
CustomObject,ContactPointConsent,,1970-01-01T00:00:00.000Z
CustomObject,Topic,,1970-01-01T00:00:00.000Z
CustomObject,AppointmentScheduleLog,,1970-01-01T00:00:00.000Z
CustomObject,Demo_Task__c,,2025-04-26T06:51:47.000Z
CustomObject,ApprovalWorkItem,,1970-01-01T00:00:00.000Z
CustomObject,DataLakeObjectInstance,,1970-01-01T00:00:00.000Z
CustomObject,WebStoreInventorySource,,1970-01-01T00:00:00.000Z
CustomObject,Site,,1970-01-01T00:00:00.000Z
CustomObject,Payment,,1970-01-01T00:00:00.000Z
CustomObject,DataActionTarget,,1970-01-01T00:00:00.000Z
CustomObject,UserLocalWebServerIdentity,,1970-01-01T00:00:00.000Z
CustomObject,Task,,1970-01-01T00:00:00.000Z
CustomObject,ShiftWorkTopic,,1970-01-01T00:00:00.000Z
CustomObject,ActivationTargetPlatform,,1970-01-01T00:00:00.000Z
CustomObject,StandardShippingRate,,1970-01-01T00:00:00.000Z
CustomObject,ContactPointAddress,,1970-01-01T00:00:00.000Z
CustomObject,EngagementChannelWorkType,,1970-01-01T00:00:00.000Z
CustomObject,WaitlistServiceResource,,1970-01-01T00:00:00.000Z
CustomObject,AccountContactRole,,1970-01-01T00:00:00.000Z
CustomObject,PaymentGroup,,1970-01-01T00:00:00.000Z
CustomObject,Client__c,,2025-04-20T18:16:35.000Z
CustomObject,AlternativePaymentMethod,,1970-01-01T00:00:00.000Z
CustomObject,ApprovalSubmission,,1970-01-01T00:00:00.000Z
CustomObject,BusinessBrand,,1970-01-01T00:00:00.000Z
CustomObject,AuthorizationForm,,1970-01-01T00:00:00.000Z
CustomObject,RecordAction,,1970-01-01T00:00:00.000Z
CustomObject,CartTax,,1970-01-01T00:00:00.000Z
CustomObject,WebStoreCatalog,,1970-01-01T00:00:00.000Z
CustomObject,FulfillmentOrderItemAdjustment,,1970-01-01T00:00:00.000Z
CustomObject,ProductConsumptionSchedule,,1970-01-01T00:00:00.000Z
CustomObject,ChatterActivity,,1970-01-01T00:00:00.000Z
CustomObject,DataAction,,1970-01-01T00:00:00.000Z
CustomObject,WorkStepTemplate,,1970-01-01T00:00:00.000Z
CustomObject,TableauHostMapping,,1970-01-01T00:00:00.000Z
CustomObject,ShippingConfigurationSet,,1970-01-01T00:00:00.000Z
CustomObject,AuthorizationFormDataUse,,1970-01-01T00:00:00.000Z
